"","Experience","Salaire"
"1",19,16.5
"2",27,23.2
"3",20,20.9
"4",28,23.2
"5",32,33
"6",15,15.3
"7",30,33.2
"8",33,32
"9",27,32.3
"10",42,38.2
"11",33,22.8
"12",35,39.6
"13",28,26.9
"14",26,28.1
"15",37,32.5
"16",24,26
"17",25,24.1
"18",17,20.9
"19",24,21
"20",26,25.7
"21",28,25.6
"22",23,28.9
"23",21,18.3
"24",25,22.2
"25",34,35.8
"26",45,33.9
"27",20,15.4
"28",19,17.9
"29",32,34.3
"30",32,33.2
"31",19,29.3
"32",22,16.9
"33",27,25.3
"34",35,33.3
"35",28,29.7
"36",22,31.5
"37",30,31.9
"38",15,18.7
"39",29,25.1
"40",22,31
"41",11,18.6
"42",18,17.1
"43",37,43.2
"44",20,21.8
"45",35,22.4
"46",44,52.9
"47",21,22.1
"48",5,18.7
"49",22,31.5
"50",35,35.7
"51",28,29.2
"52",34,41.5
"53",29,32.7
"54",26,30.1
"55",28,28.4
"56",19,25.8
"57",32,39.4
"58",35,32.2
"59",18,12.9
"60",26,14.7
"61",35,26.5
"62",21,24.1
"63",13,15.9
"64",30,33.9
"65",32,28.9
"66",24,20.3
"67",37,24.9
"68",20,16.7
"69",47,44.9
"70",29,20.8
"71",17,20.9
"72",26,19.3
"73",21,22.6
"74",25,20.1
"75",36,33.9
"76",39,39.6
"77",32,31
"78",29,25.7
"79",28,32.1
"80",32,34.2
"81",20,24.2
"82",47,55.3
"83",32,28.3
"84",27,18.9
"85",22,21.9
"86",38,34.5
"87",45,37.1
"88",37,41.6
"89",47,47.2
"90",21,27
"91",23,28.8
"92",27,28.3
"93",34,31.5
"94",23,33.6
"95",24,19.1
"96",12,14
"97",15,12.2
"98",18,17.5
"99",30,39.5
"100",35,24.1
"101",23,14.4
"102",29,31.4
"103",27,30.2
"104",34,40.1
"105",31,27.7
"106",24,17.9
"107",15,24
"108",15,19
"109",35,27.2
"110",31,36
"111",24,26.9
"112",31,42.5
"113",10,12
"114",25,23.6
"115",32,36.2
"116",26,29.5
"117",22,17.9
"118",23,31.4
"119",27,31.5
"120",24,22.4
"121",48,47.2
"122",26,24.3
"123",27,21.4
"124",29,28.5
"125",20,23.8
"126",30,23.8
"127",22,20.2
"128",25,27.8
"129",4,17.6
"130",38,26.1
"131",16,22.6
"132",18,29.4
"133",32,38.5
"134",27,26.5
"135",37,25.7
"136",28,26.8
"137",24,24.8
"138",20,22.2
"139",25,23.6
"140",24,21.6
"141",36,32.9
"142",32,36
"143",20,20.6
"144",38,33.3
"145",17,15.9
"146",19,21.2
"147",22,18.9
"148",40,44.6
"149",34,31.3
"150",34,28.9
"151",28,26.6
"152",27,22.4
"153",18,27.3
