product_id,product_type,viscosity,pH,density,surface_tension,user_rating
1,gel,1073.0,6.2,1.016,36.7,3.12
2,serum,821.4,5.55,0.952,32.8,3.42
3,cream,3234.8,5.23,0.991,41.6,3.52
4,gel,1253.7,6.61,1.031,37.1,3.4
5,gel,993.3,6.31,1.025,36.0,3.82
6,serum,851.5,6.57,0.956,34.3,2.74
7,cream,3786.2,5.33,0.984,47.3,4.21
8,cream,3268.2,5.15,0.98,45.2,3.82
9,gel,1547.2,6.13,1.027,31.8,3.53
10,lotion,1405.6,6.22,1.011,35.8,3.36
11,gel,1092.7,6.64,1.013,35.4,3.02
12,gel,1206.8,6.37,1.041,36.3,3.42
13,gel,896.2,6.54,1.013,36.7,3.71
14,gel,1081.1,6.48,1.025,36.7,3.17
15,serum,680.0,5.73,0.945,30.7,3.4
16,cream,4029.6,5.28,0.965,47.8,3.84
17,serum,1012.2,6.01,0.935,31.0,2.97
18,serum,926.7,5.66,0.954,33.5,3.4
19,serum,707.3,5.79,0.918,30.0,3.63
20,gel,1162.1,6.25,1.036,32.1,3.38
21,lotion,1412.0,6.03,1.039,35.1,3.28
22,cream,3848.9,5.2,0.97,46.4,4.18
23,lotion,1539.8,5.88,1.011,37.2,3.05
24,serum,811.4,5.93,0.966,29.5,3.38
25,serum,1013.3,5.41,0.948,33.2,3.58
26,lotion,1556.2,5.88,1.006,37.0,3.29
27,lotion,1382.1,6.17,1.017,36.6,3.21
28,lotion,1679.9,6.06,1.026,39.3,3.53
29,serum,717.1,5.69,0.957,33.2,3.07
30,serum,797.9,5.82,0.963,30.8,3.19
31,cream,3664.1,5.16,0.986,48.3,4.76
32,cream,3747.6,5.36,1.016,45.1,4.06
33,serum,868.2,5.74,0.953,31.7,3.13
34,lotion,1519.4,6.12,0.994,42.2,3.2
35,lotion,1298.8,5.76,1.033,39.6,3.59
36,cream,3687.2,5.33,0.99,42.3,4.07
37,serum,807.6,5.66,0.96,31.7,3.03
38,cream,3252.4,5.14,0.998,43.3,4.41
39,cream,3253.3,5.25,0.995,43.5,4.43
40,gel,1129.3,6.55,1.006,32.2,3.05
41,gel,1092.2,6.46,1.023,38.0,2.67
42,gel,1328.6,6.47,1.02,33.0,3.6
43,lotion,1496.3,5.94,1.016,36.3,3.2
44,serum,851.9,6.11,0.949,32.8,3.43
45,serum,869.0,5.72,0.952,32.0,2.65
46,serum,809.8,5.65,0.95,33.0,3.5
47,serum,945.1,5.99,0.972,30.5,2.87
48,gel,1330.8,6.54,1.042,33.4,3.51
49,lotion,1332.1,5.88,0.968,36.9,3.37
50,lotion,1348.2,6.03,1.017,41.8,3.07
51,gel,1342.6,6.38,1.011,36.0,3.19
52,lotion,1236.0,6.37,1.034,37.1,3.49
53,gel,943.0,6.77,1.019,37.5,3.19
54,serum,640.6,5.68,0.95,32.1,3.35
55,gel,1132.5,6.62,1.009,34.7,3.82
56,serum,812.0,5.9,0.957,29.8,2.73
57,serum,646.6,6.06,0.953,30.5,3.62
58,cream,3965.3,5.22,1.014,45.2,4.25
59,gel,1509.1,6.85,1.018,36.9,3.05
60,cream,3693.6,5.47,0.971,47.1,3.71
61,gel,1358.8,6.15,1.008,30.9,3.29
62,gel,1159.6,6.64,1.035,35.1,3.51
63,cream,3988.6,4.92,0.956,44.8,4.22
64,cream,3615.2,5.19,0.949,44.7,4.57
65,gel,1004.3,6.63,1.024,33.1,2.75
66,lotion,1397.2,5.79,1.009,39.9,3.39
67,serum,701.4,5.9,0.945,30.4,2.79
68,cream,3467.9,4.99,0.979,41.4,4.2
69,serum,996.5,5.81,0.943,32.4,3.53
70,lotion,1477.5,5.96,1.022,39.5,3.27
71,lotion,1393.9,5.88,1.004,33.4,2.6
72,lotion,1197.0,6.27,1.043,37.5,3.34
73,cream,3673.0,5.26,1.052,48.4,4.26
74,lotion,1474.4,5.81,0.978,38.4,3.53
75,cream,3273.1,4.92,0.977,41.8,4.41
76,lotion,1837.4,6.18,1.01,41.0,3.16
77,serum,807.7,5.63,0.965,33.1,3.43
78,serum,696.3,5.76,0.941,29.2,3.54
79,gel,1338.9,6.88,1.006,36.1,2.73
80,serum,734.9,5.7,0.944,30.3,3.3
81,gel,1207.3,6.33,1.023,34.9,3.13
82,serum,776.1,5.62,0.944,33.5,3.2
83,cream,3650.3,5.0,0.992,47.3,4.25
84,serum,633.1,5.91,0.943,33.1,3.0
85,gel,1085.5,6.14,1.004,35.1,3.06
86,gel,1239.0,6.32,1.026,31.7,3.3
87,lotion,1486.8,5.76,0.997,38.1,3.09
88,cream,3241.9,5.12,1.01,43.3,3.68
89,serum,883.6,5.57,0.955,34.9,3.46
90,lotion,1005.7,5.84,1.022,37.6,2.92
91,serum,837.1,5.68,0.951,31.7,3.43
92,serum,916.8,5.85,0.953,31.2,3.38
93,lotion,1402.5,5.91,1.018,37.2,2.86
94,lotion,1558.0,6.42,1.027,37.3,3.17
95,lotion,1740.2,5.92,0.969,36.0,3.84
96,lotion,1125.8,5.93,1.01,41.4,3.0
97,lotion,1565.4,5.96,1.027,33.6,3.28
98,serum,823.6,5.95,0.935,34.3,3.34
99,lotion,1567.7,5.92,1.023,42.5,3.66
100,cream,3554.6,5.25,0.981,42.5,4.02
101,gel,1324.6,6.33,1.021,34.0,3.14
102,lotion,1595.8,6.07,1.031,37.0,3.85
103,lotion,1446.0,5.8,1.001,38.8,3.93
104,serum,875.7,5.62,0.959,34.7,3.54
105,lotion,1582.7,6.38,0.995,35.5,3.41
106,lotion,1144.3,6.3,1.023,37.9,3.02
107,lotion,1556.0,5.77,1.059,38.3,3.19
108,serum,810.9,5.95,0.955,32.4,3.36
109,lotion,1341.9,6.09,1.048,40.7,3.47
110,gel,1439.0,6.4,1.01,34.7,3.76
111,serum,805.6,6.02,0.933,35.1,3.38
112,gel,1176.3,6.41,1.01,31.7,2.81
113,serum,882.3,5.81,0.937,29.4,3.55
114,lotion,1432.8,6.33,1.005,35.0,3.05
115,gel,1163.1,6.45,0.993,34.9,3.14
116,serum,776.9,5.94,0.968,34.3,3.26
117,cream,3419.3,4.98,1.041,45.2,4.68
118,lotion,1502.8,6.0,1.014,37.7,4.33
119,serum,742.6,5.69,0.95,30.9,3.39
120,cream,3286.1,5.22,0.985,49.5,3.96
121,serum,534.9,6.02,0.962,27.9,3.27
122,cream,3397.2,5.13,0.962,42.7,4.32
123,lotion,1277.9,6.35,1.029,40.5,3.2
124,gel,1308.3,6.27,1.015,36.0,3.85
125,cream,3133.4,5.34,0.985,43.9,4.02
126,serum,871.1,5.89,0.946,34.3,3.37
127,lotion,1283.8,6.12,1.022,37.4,3.52
128,cream,3597.8,4.95,1.008,44.4,4.26
129,serum,747.7,6.01,0.943,29.2,3.43
130,serum,644.3,5.92,0.937,35.5,2.97
131,serum,591.8,6.14,0.952,31.8,2.95
132,cream,3336.5,5.28,0.989,48.3,3.69
133,cream,3534.3,5.23,0.983,44.8,4.22
134,cream,3592.3,4.86,0.963,47.2,4.38
135,gel,1225.6,6.46,1.02,35.7,3.41
136,cream,3338.1,5.04,0.994,42.1,4.55
137,cream,3622.5,4.86,1.011,46.4,4.15
138,cream,3576.8,5.4,1.023,48.0,4.28
139,gel,923.9,6.24,1.014,35.1,2.88
140,cream,3655.3,5.05,0.994,42.7,4.02
141,serum,738.8,5.52,0.941,29.3,3.43
142,cream,3207.2,5.41,0.971,52.9,4.23
143,serum,849.3,5.84,0.941,33.4,3.13
144,serum,742.4,5.82,0.976,31.8,3.17
145,serum,914.9,5.66,0.95,35.5,2.8
146,gel,1106.0,6.86,1.027,33.9,3.09
147,gel,1294.9,6.69,1.026,31.9,3.54
148,gel,1090.9,6.45,1.019,36.2,3.4
149,cream,3553.3,4.93,0.998,46.8,4.27
150,serum,856.0,6.02,0.958,32.9,3.22
151,gel,1189.5,6.17,1.024,35.4,3.29
152,gel,1240.7,6.24,1.009,37.1,3.1
153,cream,3488.1,5.34,0.991,45.1,4.27
154,gel,1340.7,6.4,1.021,34.1,3.44
155,cream,3369.7,5.14,0.994,43.6,4.19
156,lotion,1751.2,5.82,1.006,37.1,3.34
157,gel,1417.0,6.54,1.03,32.0,2.68
158,lotion,1553.4,6.18,1.012,40.1,3.73
159,cream,3344.8,5.48,1.036,43.9,3.86
