Consumer;Session;Rank;Product;Base;Dose;Light_dark;Intensity;Sweet;Acidity;Bitterness;Fluid_thick;Liking;Typicity
J1;S1;6;127;apple;0;r.t.light;r.n.e.intense;r.t.sweet;r.n.e.acid;n.e.bitter;r.t.fluid;7;2
J1;S2;7;127;apple;0;r.t.light;t.intense;r.t.sweet;r.n.e.acid;n.e.bitter;r.t.fluid;0;1
J1;S1;2;245;pineapple;0;t.light;r.n.e.intense;JAR;n.e.acid;JAR;t.fluid;6;8
J1;S2;1;245;pineapple;0;JAR;JAR;t.sweet;JAR;JAR;t.fluid;5;7
J1;S1;7;362;orange;0;JAR;n.e.intense;JAR;t.acid;t.bitter;t.fluid;9;5
J1;S2;4;362;orange;0;t.light;r.n.e.intense;t.sweet;JAR;JAR;JAR;8;2
J1;S1;3;431;apple;10;t.dark;t.intense;r.t.sweet;JAR;n.e.bitter;JAR;1;5
J1;S2;3;431;apple;10;r.t.dark;t.intense;r.t.sweet;r.n.e.acid;n.e.bitter;t.fluid;0;8
J1;S1;9;518;pineapple;10;r.t.dark;JAR;JAR;t.acid;r.t.bitter;t.thick;3;5
J1;S2;5;518;pineapple;10;r.t.dark;JAR;JAR;JAR;t.bitter;JAR;6;4
J1;S1;8;694;orange;10;t.dark;n.e.intense;n.e.sweet;r.t.acid;JAR;JAR;5;4
J1;S2;9;694;orange;10;t.dark;n.e.intense;JAR;t.acid;t.bitter;JAR;7;3
J1;S1;5;759;apple;20;r.t.dark;t.intense;t.sweet;n.e.acid;JAR;JAR;4;7
J1;S2;8;759;apple;20;r.t.dark;r.n.e.intense;JAR;n.e.acid;JAR;t.thick;5;8
J1;S1;1;876;pineapple;20;t.dark;JAR;t.sweet;JAR;JAR;t.fluid;3;7
J1;S2;6;876;pineapple;20;t.dark;r.n.e.intense;t.sweet;t.acid;r.t.bitter;t.fluid;2;5
J1;S1;4;983;orange;20;r.t.dark;JAR;t.sweet;t.acid;t.bitter;JAR;0;3
J1;S2;2;983;orange;20;r.t.dark;n.e.intense;t.sweet;t.acid;r.t.bitter;JAR;2;6
J10;S1;3;127;apple;0;r.t.light;n.e.intense;r.t.sweet;n.e.acid;n.e.bitter;t.fluid;1;2
J10;S2;2;127;apple;0;r.t.light;JAR;r.t.sweet;n.e.acid;n.e.bitter;t.fluid;5;5
J10;S1;2;245;pineapple;0;JAR;JAR;JAR;JAR;JAR;JAR;9;9
J10;S2;3;245;pineapple;0;JAR;JAR;JAR;n.e.acid;JAR;JAR;9;6
J10;S1;9;362;orange;0;JAR;r.n.e.intense;JAR;n.e.acid;JAR;JAR;6;9
J10;S2;8;362;orange;0;JAR;r.n.e.intense;JAR;JAR;n.e.bitter;JAR;5;5
J10;S1;6;431;apple;10;t.dark;JAR;t.sweet;r.n.e.acid;JAR;r.t.fluid;2;0
J10;S2;7;431;apple;10;JAR;JAR;JAR;JAR;JAR;t.fluid;9;10
J10;S1;7;518;pineapple;10;JAR;JAR;JAR;n.e.acid;t.bitter;JAR;1;9
J10;S2;6;518;pineapple;10;JAR;r.n.e.intense;n.e.sweet;JAR;JAR;JAR;4;8
J10;S1;5;694;orange;10;JAR;n.e.intense;JAR;n.e.acid;t.bitter;t.fluid;4;9
J10;S2;4;694;orange;10;t.dark;JAR;JAR;JAR;r.t.bitter;JAR;2;8
J10;S1;8;759;apple;20;r.t.dark;t.intense;r.t.sweet;n.e.acid;JAR;t.fluid;3;1
J10;S2;9;759;apple;20;r.t.dark;JAR;JAR;JAR;JAR;JAR;9;9
J10;S1;4;876;pineapple;20;r.t.dark;JAR;JAR;n.e.acid;n.e.bitter;r.t.fluid;0;8
J10;S2;5;876;pineapple;20;t.dark;n.e.intense;JAR;n.e.acid;r.t.bitter;t.thick;1;2
J10;S1;1;983;orange;20;r.t.dark;n.e.intense;JAR;JAR;t.bitter;t.fluid;3;8
J10;S2;1;983;orange;20;JAR;n.e.intense;JAR;JAR;JAR;JAR;4;4
J11;S1;7;127;apple;0;r.t.light;n.e.intense;r.t.sweet;JAR;JAR;r.t.fluid;4;4
J11;S2;3;127;apple;0;r.t.light;t.intense;t.sweet;JAR;JAR;r.t.fluid;3;3
J11;S1;3;245;pineapple;0;t.light;n.e.intense;JAR;JAR;JAR;JAR;8;6
J11;S2;2;245;pineapple;0;JAR;JAR;JAR;JAR;JAR;JAR;10;10
J11;S1;6;362;orange;0;r.t.light;n.e.intense;JAR;JAR;JAR;JAR;9;8
J11;S2;9;362;orange;0;JAR;n.e.intense;JAR;JAR;JAR;JAR;5;5
J11;S1;2;431;apple;10;t.light;n.e.intense;t.sweet;t.acid;JAR;JAR;0;3
J11;S2;6;431;apple;10;JAR;t.intense;t.sweet;JAR;JAR;JAR;2;2
J11;S1;8;518;pineapple;10;JAR;JAR;JAR;JAR;JAR;JAR;8;10
J11;S2;7;518;pineapple;10;JAR;JAR;JAR;JAR;JAR;JAR;8;5
J11;S1;9;694;orange;10;JAR;n.e.intense;t.sweet;JAR;JAR;JAR;5;7
J11;S2;5;694;orange;10;JAR;JAR;t.sweet;t.acid;JAR;JAR;2;3
J11;S1;4;759;apple;20;JAR;t.intense;JAR;t.acid;JAR;JAR;1;2
J11;S2;8;759;apple;20;JAR;JAR;t.sweet;t.acid;JAR;JAR;0;0
J11;S1;1;876;pineapple;20;JAR;JAR;t.sweet;JAR;JAR;JAR;2;3
J11;S2;4;876;pineapple;20;t.dark;JAR;t.sweet;t.acid;JAR;JAR;4;4
J11;S1;5;983;orange;20;JAR;JAR;JAR;JAR;JAR;JAR;7;6
J11;S2;1;983;orange;20;JAR;n.e.intense;JAR;r.t.acid;JAR;JAR;1;1
J12;S1;4;127;apple;0;r.t.light;JAR;r.t.sweet;JAR;JAR;t.thick;1;2
J12;S2;7;127;apple;0;r.t.light;t.intense;r.t.sweet;JAR;JAR;JAR;1;2
J12;S1;8;245;pineapple;0;JAR;JAR;t.sweet;JAR;JAR;JAR;8;8
J12;S2;3;245;pineapple;0;t.light;JAR;t.sweet;JAR;JAR;JAR;6;5
J12;S1;3;362;orange;0;t.light;r.n.e.intense;t.sweet;JAR;JAR;JAR;7;7
J12;S2;6;362;orange;0;JAR;n.e.intense;JAR;JAR;JAR;JAR;7;7
J12;S1;7;431;apple;10;r.t.dark;n.e.intense;r.t.sweet;JAR;JAR;t.thick;3;3
J12;S2;2;431;apple;10;t.dark;JAR;JAR;JAR;JAR;JAR;8;7
J12;S1;1;518;pineapple;10;t.dark;t.intense;t.sweet;JAR;JAR;t.thick;5;7
J12;S2;8;518;pineapple;10;r.t.dark;JAR;t.sweet;JAR;JAR;t.thick;2;4
J12;S1;2;694;orange;10;JAR;n.e.intense;JAR;JAR;JAR;t.thick;3;3
J12;S2;9;694;orange;10;JAR;JAR;t.sweet;JAR;JAR;JAR;7;7
J12;S1;5;759;apple;20;r.t.dark;r.n.e.intense;r.n.e.sweet;JAR;JAR;r.t.thick;0;2
J12;S2;4;759;apple;20;r.t.dark;JAR;t.sweet;t.acid;JAR;JAR;1;2
J12;S1;9;876;pineapple;20;r.t.dark;t.intense;t.sweet;t.acid;JAR;t.thick;1;2
J12;S2;1;876;pineapple;20;t.dark;JAR;t.sweet;JAR;JAR;r.t.thick;2;5
J12;S1;6;983;orange;20;t.dark;n.e.intense;t.sweet;t.acid;JAR;t.fluid;1;2
J12;S2;5;983;orange;20;JAR;JAR;t.sweet;JAR;JAR;JAR;6;6
J13;S1;1;127;apple;0;t.light;JAR;t.sweet;JAR;JAR;t.fluid;4;6
J13;S2;4;127;apple;0;r.t.light;JAR;r.t.sweet;JAR;JAR;t.fluid;3;5
J13;S1;4;245;pineapple;0;JAR;t.intense;JAR;JAR;JAR;JAR;8;6
J13;S2;8;245;pineapple;0;r.t.light;JAR;JAR;JAR;JAR;JAR;9;9
J13;S1;7;362;orange;0;r.t.light;n.e.intense;t.sweet;JAR;JAR;JAR;5;2
J13;S2;3;362;orange;0;r.t.light;n.e.intense;t.sweet;JAR;JAR;JAR;7;8
J13;S1;8;431;apple;10;t.dark;t.intense;r.t.sweet;n.e.acid;JAR;JAR;2;4
